run,nom_rank,gene,modality,confidence,reason
25,14,VRK1,inhibit,low,"Serine/threonine kinase with strong dependency and reasonable tractability, plausibly inhibitable but lacking a validated GBM-selective MoA."
25,15,KIF2C,inhibit,low,"Top composite via tumor enrichment/window and CDKN2A/B-SL, a compelling biological dependency but currently a no-inhibitor-MoA kinesin requiring probe discovery."
26,1,PDGFRA,inhibit,high,"Bona fide GBM oncogenic driver (amplified/mutated) with excellent selectivity, tumor specificity, perfect tractability and approved kinase inhibitors already in hand."
26,2,MET,inhibit,high,"Validated RTK driver in a GBM subset with top-tier selectivity and tumor specificity, fully druggable with approved MET inhibitors."
26,3,CDK2,inhibit,medium,"Strong dependency and enrichment with RB1 synthetic lethality and mature, brain-penetrant-capable inhibitor chemistry, though low selectivity vs pan-essential warrants care."
26,4,CDK7,inhibit,medium,"Druggable transcriptional CDK with PTEN synthetic lethality and clinical-stage covalent inhibitors, offering a tractable route despite common-essential character."
26,5,TEAD1,inhibit,medium,"Hippo-pathway effector with newly validated palmitate-pocket small-molecule inhibitors (auto-palmitoylation), giving a real MoA despite the flag, plus good tumor enrichment."
26,6,VRK1,inhibit,medium,"High-dependency serine/threonine kinase that is a paralog-lethal target and inherently ligandable as a kinase, an attractive novel GBM node."
26,7,KIF18A,inhibit,medium,"Highly dependent mitotic kinesin with emerging clinical inhibitors and wide therapeutic window, offering a genuine small-molecule motor-domain MoA."
26,8,KIF2C,inhibit,low,"Top-ranked composite from strong tumor enrichment and window; a mitotic kinesin whose ATPase motor domain is in principle ligandable, warranting exploration."
26,9,PTPN11,inhibit,medium,"SHP2 is a well-validated allosteric small-molecule target (clinical inhibitors exist) sitting downstream of GBM RTK signaling, so the tractability is real despite modest scores."
26,10,EGLN1,inhibit,medium,"PHD2 prolyl hydroxylase is an established enzyme target with approved inhibitors, offering a hypoxia-axis handle with good selectivity and full tractability."
26,11,FGFR1,inhibit,low,"Druggable RTK driver in FGFR-altered GBM with approved inhibitors, though CNS-safety risk and low window temper enthusiasm to a biomarker-selected setting."
26,12,ELAVL1,inhibit,low,HuR RNA-binding oncoprotein with strong tumor specificity/enrichment and small-molecule ligands emerging that block RNA binding.
26,13,E2F3,degrade,low,RB1 synthetic-lethal transcription factor with strong SL and specificity; hard-to-drug directly but a compelling degrader (molecular-glue/PROTAC) candidate.
26,14,ITGB5,inhibit,low,"Novel integrin with solid dependency and CDKN2B/NF1 synthetic lethality; cell-surface accessibility makes it a reasonable, if unproven, target."
26,15,KIF18B,inhibit,low,"Strong tumor enrichment, specificity and window as a mitotic kinesin paralog, plausibly ligandable at the motor domain alongside KIF18A."
27,1,PDGFRA,inhibit,high,"Validated GBM oncogenic driver (frequently amplified/mutated) with a fully tractable kinase active site and approved small-molecule inhibitors, plus top tumor-specificity and selectivity scores."
27,2,MET,inhibit,high,"Actionable receptor-tyrosine-kinase driver in a GBM subset with excellent selectivity and clinical-grade inhibitors available, though CNS penetration must be engineered."
27,3,CDK2,inhibit,medium,"Strong dependency and full druggability with an RB1 synthetic-lethal rationale; selective CDK2 inhibitors now exist, but pan-essentiality caps the therapeutic window."
27,4,KIF2C,inhibit,medium,"High tumor enrichment/window with a CDKN2A/B synthetic-lethal handle, but as a kinesin motor with no established inhibitor pocket the modality remains speculative."
27,5,KIF18A,inhibit,medium,"Excellent dependency, tumor enrichment and window with genuinely emerging clinical KIF18A inhibitors, offering a rare tractable motor-protein target."
27,6,VRK1,inhibit,medium,"Strong, selective dependency and a druggable kinase fold make it an attractive novel target, contingent on confirming a paralog/synthetic-lethal context."
27,7,TEAD1,inhibit,medium,Hippo-pathway transcriptional effector with a lipid-binding palmitoylation pocket enabling covalent small-molecule inhibitors already in the clinic.
27,8,CDK7,inhibit,medium,"Druggable transcriptional/CDK kinase with a PTEN synthetic-lethal signal and clinical covalent inhibitors, tempered by common-essentiality and narrow window."
27,9,ITGB5,inhibit,low,GBM-enriched integrin with SL to CDKN2B/NF1 and reasonable tractability as a cell-surface adhesion target amenable to antagonists.
27,10,KIF18B,inhibit,low,"High tumor specificity/enrichment and top window with CDKN2A/B SL, plausibly addressable by the same motor-inhibitor chemistry emerging for KIF18A."
27,11,ELAVL1,inhibit,low,RNA-binding oncoprotein (HuR) with strong tumor enrichment; challenging but pursued via small-molecule RNA-binding disruptors.
27,12,EGLN1,inhibit,low,"Well-characterized enzyme (PHD2) with approved small-molecule inhibitors, giving high tractability though its GBM dependency signal is modest."
27,13,CDC25B,inhibit,low,"Cell-cycle phosphatase with existing chemistry and good tumor specificity, but a very narrow therapeutic window is the key liability."
27,14,PTPN11,inhibit,low,"SHP2 is a fully druggable allosteric target with clinical inhibitors nodal to RTK signaling common in GBM, limited here by common-essentiality and CNS risk."
27,15,E2F3,inhibit,low,"RB1-synthetic-lethal transcription factor with strong selectivity, flagged as a mechanistically interesting but currently poorly tractable target."
28,1,PDGFRA,inhibit,high,"Validated GBM oncogenic RTK driver (amplified/mutated) with strong selectivity, top tumor-specificity, full tractability, and approved-drug chemistry — the cleanest inhibitable target on the list."
28,2,MET,inhibit,high,"Established GBM RTK driver (amplification, splice variants, EGFRi-resistance driver) with excellent selectivity and fully tractable approved-drug chemistry."
28,3,CDK2,inhibit,medium,"Strong dependency and RB1-synthetic-lethal rationale with mature selective-inhibitor chemistry, though pan-essential liability means the window must be managed."
28,4,CDK7,inhibit,medium,"Druggable transcriptional/cell-cycle kinase with PTEN-loss synthetic lethality and clinical-stage covalent inhibitors, tempered by common-essential toxicity risk."
28,5,TEAD1,inhibit,medium,"Hippo-pathway effector with a druggable lipid pocket and emerging clinical TEAD palmitoylation inhibitors, giving a genuine inhibit-MoA despite modest dependency."
28,6,EGLN1,inhibit,medium,Fully tractable enzyme (PHD2) with clinical-grade small-molecule inhibitors; its hypoxia/HIF axis is biologically active in GBM and offers a real inhibit modality.
28,7,KIF18A,inhibit,medium,Highly selective mitotic kinesin dependency in chromosomally-unstable tumors with excellent window and now-clinical inhibitors demonstrating a bona fide small-molecule MoA.
28,8,VRK1,inhibit,medium,"Strong pan-cancer dependency (paralog synthetic lethality with VRK2 methylation, relevant in GBM) and an ATP-competitive kinase with emerging chemical tools."
28,9,PTPN11,inhibit,medium,"Node RTK-signaling phosphatase (SHP2) with validated clinical allosteric inhibitors, providing real chemistry despite modest scores and CNS-window caution."
28,10,ITGB5,inhibit,low,"GBM-invasion integrin with high dependency, strong tumor enrichment and CDKN2B/NF1 synthetic-lethal signal, though small-molecule MoA is still unproven."
28,11,ELAVL1,inhibit,low,"HuR RNA-binding oncoprotein with strong tumor enrichment/specificity and demonstrated small-molecule disruptors, making it a tractable-in-principle inhibit target."
28,12,WDR77,inhibit,low,"PRMT5 cofactor with CDKN2A/2B synthetic-lethality that plausibly routes to the clinically validated MTAP/PRMT5 axis, offering an indirect but druggable path."
28,13,FGFR1,inhibit,low,"Genuine GBM RTK with fully tractable approved inhibitors and good tumor-specificity, but ranked lower here because of a poor therapeutic window and CNS-safety risk."
28,14,KIF2C,inhibit,low,"Top-composite mitotic kinesin with outstanding tumor enrichment and window, retained as a phenotypic dependency lead despite lacking an established inhibitor MoA."
28,15,E2F3,inhibit,low,RB1-synthetic-lethal transcription factor with good selectivity that could be addressed via upstream CDK4/6-RB axis rather than direct TF inhibition.
29,1,PDGFRA,inhibit,high,"GBM-defining receptor tyrosine kinase amplified/mutated in the classical subtype, with maximal tumor specificity, selectivity, and full small-molecule tractability via approved kinase inhibitors."
29,2,MET,inhibit,high,"Highly selective driver RTK in a subset of GBM with excellent tractability and approved inhibitors, though modest tumor enrichment and CNS penetration remain the main hurdles."
29,3,CDK2,inhibit,high,Highly tractable kinase with strong dependency and RB1 synthetic-lethality rationale plus good therapeutic window; selectivity flag reflects pan-essentiality manageable by selective CDK2 chemistry.
29,4,KIF2C,inhibit,medium,"Top-composite mitotic kinesin with outstanding tumor enrichment and window, offering a proliferation-selective vulnerability, but currently lacks a validated small-molecule mechanism."
29,5,KIF18A,inhibit,medium,"Very high dependency, exceptional tumor enrichment and window, and an emerging druggable mitotic kinesin with clinical-stage inhibitors validating the modality despite the common-essential flag."
29,6,TEAD1,inhibit,high,"Hippo-pathway transcriptional effector with a validated small-molecule palmitate-pocket allosteric inhibitor mechanism (clinical TEAD inhibitors), good selectivity and tractability."
29,7,CDK7,inhibit,medium,Fully tractable kinase with covalent clinical-stage inhibitors and a PTEN synthetic-lethality rationale; core-essentiality demands a careful therapeutic window.
29,8,GPX4,inhibit,medium,Very strong dependency and an established ferroptosis-induction mechanism for which mesenchymal/therapy-resistant GBM states are highly sensitive; the narrow window is the key liability.
29,9,ELAVL1,inhibit,medium,"RNA-binding oncogenic hub (HuR) with high tumor enrichment and specificity and emerging small-molecule disruptors of RNA binding, though tractability remains unproven."
29,10,KIF18B,inhibit,medium,"Mitotic kinesin with excellent tumor specificity, enrichment, and near-ideal therapeutic window sharing the druggable-kinesin rationale, but no current chemistry."
29,11,VRK1,inhibit,medium,"Very high dependency kinase with an established paralog synthetic-lethality (VRK2-low) context and druggable ATP pocket, making it a tractable novel target once selectivity is engineered."
29,12,EGLN1,inhibit,low,Tractable prolyl-hydroxylase enzyme with approved-class inhibitors; selective HIF-pathway modulation offers a mechanistically clean handle though direct GBM dependency is modest.
29,14,PTPN11,inhibit,medium,"RTK-pathway phosphatase (SHP2) with fully validated allosteric inhibitor chemistry, positioned downstream of PDGFRA/EGFR/MET signaling to blunt convergent receptor input."
29,15,E2F3,inhibit,low,"RB1-synthetic-lethal transcription factor with good selectivity and tumor enrichment representing a compelling biological node, but transcription factors carry very high tractability risk."
30,1,PDGFRA,inhibit,high,"Validated GBM driver receptor tyrosine kinase, frequently amplified/mutated, fully tractable with approved kinase inhibitors and excellent tumor specificity/selectivity."
30,2,MET,inhibit,high,Bona fide GBM RTK driver (amplification/exon14) with top selectivity and approved small-molecule inhibitors already in clinical use.
30,3,CDK2,inhibit,medium,"Highly dependency-strong cell-cycle kinase with mature chemistry and RB1 synthetic-lethal rationale, though pan-essential selectivity requires a therapeutic-window watch."
30,4,PTK2,inhibit,medium,"FAK is a druggable kinase with real chemistry and integrin/PTEN-context dependency, plausibly repositionable in GBM despite modest tumor specificity."
30,5,CDK7,inhibit,medium,"Transcriptional CDK with clinical-stage covalent inhibitors and PTEN synthetic-lethal signal, offering a tractable route despite common-essentiality."
30,6,TEAD1,inhibit,medium,"Hippo-pathway transcription factor now genuinely druggable via the palmitoylation pocket (clinical TEAD inhibitors), aligning with YAP/TAZ-driven GBM biology."
30,7,VRK1,inhibit,medium,"Strong, selective GBM dependency (kinase) with a plausible inhibitor MoA; an emerging paralog-lethality target worth chemical-probe investment."
30,8,KIF18A,inhibit,medium,"Mitotic kinesin with a first-in-class clinical small-molecule inhibitor precedent and excellent window/tumor-enrichment, mitigating the 'no-MoA' flag."
30,9,ELAVL1,inhibit,low,"HuR is an oncogenic RNA-binding protein with tumor-enriched dependency and demonstrated small-molecule inhibition of RNA binding, a novel but tractable mechanism."
30,10,EGLN1,inhibit,low,"PHD2 prolyl hydroxylase is a well-precedented druggable enzyme (approved inhibitors) with selective profile, offering a hypoxia-axis handle in GBM."
30,11,FGFR1,inhibit,low,"Druggable RTK driver in an FGFR-altered GBM subset with approved inhibitors, though CNS-safety and weak window temper enthusiasm."
30,12,KIF2C,inhibit,low,Top-composite mitotic kinesin with outstanding tumor enrichment and window; a novel enzyme target where a catalytic inhibitor is mechanistically conceivable.
30,13,E2F3,degrade,low,RB1-context synthetic-lethal transcription factor with good selectivity; hard to drug directly but a compelling node for TF-degradation or upstream-CDK approaches.
30,14,CDC25B,inhibit,low,"Cell-cycle phosphatase with existing chemistry and good tumor specificity, a classic if historically difficult small-molecule inhibitor target."
30,15,PTPN11,inhibit,low,"SHP2 is a validated, allosterically druggable phosphatase (clinical inhibitors) sitting downstream of the RTK signaling that drives GBM."
31,1,PDGFRA,inhibit,high,"Validated GBM oncogenic driver (amplified/mutated) with tumor-specific expression, strong selectivity, and existing approved small-molecule kinase inhibitors giving immediate tractability."
31,2,MET,inhibit,high,"Recurrent GBM RTK driver with excellent selectivity and approved kinase inhibitors, though CNS penetration and the modest therapeutic window need attention."
31,3,CDK2,inhibit,medium,"Highly tractable kinase with mature chemistry and an RB1-pathway synthetic-lethal rationale in CDKN2A/RB1-altered GBM, offset by common-essentiality that demands a selective window."
31,4,CDK7,inhibit,medium,"Transcriptional CDK with clinical-stage covalent inhibitors and a PTEN-loss synthetic-lethal signal, tractable despite common-essential toxicity risk."
31,5,KIF18A,inhibit,medium,Mitotic kinesin with a genuine emerging inhibitor class (kinesin ATPase pocket is druggable) and strong tumor enrichment plus a wide therapeutic window in aneuploid tumors.
31,6,TEAD1,inhibit,medium,"Hippo-pathway transcription factor now druggable via the autopalmitoylation lipid pocket (clinical TEAD inhibitors exist), with good selectivity and tumor enrichment."
31,7,VRK1,inhibit,medium,"Highly selective genetic dependency and a kinase (intrinsically ligandable ATP pocket) with a favorable window, making it a strong novel small-molecule prospect."
31,8,ITGB5,inhibit,low,"Integrin with high dependency, real synthetic-lethal signal (CDKN2B/NF1) and reasonable tractability, offering a surface-receptor small-molecule/peptidomimetic angle."
31,9,ITGAV,inhibit,low,"Very high dependency with mature integrin-antagonist chemistry (cilengitide-class), though the near-zero tumor specificity and TME-dominated signal cap enthusiasm."
31,10,EGLN1,inhibit,low,"Druggable prolyl-hydroxylase enzyme with approved PHD-inhibitor chemistry offering a clean small-molecule handle, meriting inclusion despite a modest window and no established oncology MoA."
31,11,KIF2C,inhibit,low,"Top composite with strong tumor enrichment/window and a CDKN2A/B synthetic-lethal signal, but a kinesin whose direct small-molecule inhibition is unproven, so it enters as a mechanism-validation candidate."
31,12,ELAVL1,inhibit,low,"RNA-binding hub (HuR) with tumor enrichment and specificity plus emerging RNA-protein-interaction inhibitor chemistry, a high-risk but conceptually tractable novel target."
31,13,FGFR1,inhibit,low,"Recurrent GBM RTK fusion/amplification target with fully mature kinase inhibitors and tumor specificity, gated by a serious CNS-safety window concern that must be engineered around."
31,14,PTK2,inhibit,low,"FAK kinase with clinical inhibitors and a CDKN2A/B synthetic-lethal signal, but poor tumor specificity, low tumor enrichment and CNS-safety risk make it a hedged, chemistry-driven pick."
31,15,CDC25B,inhibit,low,"Cell-cycle phosphatase with existing chemistry and good tumor specificity, included as an enzymatically tractable option despite an unproven inhibitor MoA and a narrow window."
32,1,PDGFRA,inhibit,high,"GBM-defining receptor tyrosine kinase with amplification/mutation in a major molecular subtype, perfect tractability, existing approved kinase inhibitors, and strong tumor specificity."
32,2,MET,inhibit,high,"Validated GBM RTK driver (including in mesenchymal/recurrent disease) with excellent selectivity, full tractability, and clinically available inhibitors to reposition."
32,3,CDK2,inhibit,high,Highly druggable kinase with strong dependency and RB1 synthetic-lethality rationale; low selectivity/common-essential flag argues for a therapeutic-window-focused selective inhibitor.
32,4,KIF18A,inhibit,medium,"Mitotic kinesin with a genuine catalytic pocket (unlike most spindle motors), strong dependency, high tumor enrichment/window, and clinical-stage selective inhibitors already exist."
32,5,TEAD1,inhibit,medium,"Hippo-pathway transcriptional effector that is now genuinely druggable via the auto-palmitoylation pocket, with good selectivity and tumor enrichment in mesenchymal GBM."
32,6,CDK7,inhibit,medium,Transcriptional CDK with strong small-molecule chemistry and PTEN synthetic-lethality; a covalent selective inhibitor could exploit tumor dependency despite common-essentiality.
32,7,ITGB5,inhibit,medium,Novel integrin dependency with good SL (CDKN2B/NF1) and tumor enrichment; surface localization gives antibody/peptide-antagonist tractability though a true small-molecule MoA is unestablished.
32,8,ITGAV,inhibit,low,"Very strong dependency with antagonist chemistry (RGD/αv inhibitors exist), but poor tumor specificity (TME-dominated) and window mean it needs careful surrogate/window validation."
32,9,VRK1,inhibit,medium,Novel serine/threonine kinase with high dependency and reasonable tractability; a catalytic pocket makes it a plausible first-in-class inhibitor target for GBM.
32,10,ELAVL1,inhibit,low,RNA-binding oncogenic hub (HuR) with tumor enrichment and emerging chemical matter; a stabilizer/degrader or interaction inhibitor is a reasonable but still-early modality.
32,11,EGLN1,inhibit,low,"Prolyl hydroxylase (PHD2) with clear enzyme tractability and approved-drug chemistry; useful primarily if a HIF-axis GBM dependency is confirmed, so directionality/context needs validation."
32,12,CDC25B,inhibit,low,"Druggable cell-cycle phosphatase with good tumor specificity, but historically poor inhibitor quality and a very low therapeutic window temper enthusiasm."
32,13,E2F3,inhibit,low,"RB1-synthetic-lethal transcription factor with strong SL score; conceptually attractive but currently lacks a direct small-molecule MoA, so realistic entry is via upstream CDK inhibition."
32,14,WDR77,inhibit,low,Novel methylosome (PRMT5 partner) dependency with strong SL to CDKN2A/B; druggability is uncertain but the PRMT5/MTAP axis is a validated GBM-relevant vulnerability.
32,15,FGFR1,inhibit,low,"Bona fide druggable RTK with FGFR-TACC fusions in a GBM subset, but CNS-safety risk and low window mean it is only actionable in biomarker-selected patients."
33,1,PDGFRA,inhibit,high,"Validated GBM oncogenic driver (amplified/mutant in classical GBM) with a fully tractable kinase active site and approved inhibitors, offering strong selectivity and tumor specificity."
33,2,MET,inhibit,high,"Recurrent GBM driver amplified/activated in aggressive and treatment-resistant tumors, with excellent selectivity, full small-molecule tractability, and approved kinase inhibitors."
33,3,CDK2,inhibit,medium,Highly druggable kinase with strong dependency and RB1 synthetic-lethality; low selectivity/common-essential flag is mitigated by emerging selective CDK2 inhibitors and a defined patient-selection lesion.
33,4,CDK7,inhibit,medium,"Well-validated transcriptional/cell-cycle kinase with mature covalent inhibitor chemistry and PTEN synthetic-lethality, though common-essentiality demands careful therapeutic-window management."
33,5,ITGAV,inhibit,medium,Highly druggable RGD-integrin with strong dependency and CDKN2A/B synthetic-lethality; the very low tumor-specificity/TME-dominated signal is the key caveat but antagonist chemistry is well precedented.
33,6,TEAD1,inhibit,medium,"Hippo-pathway transcription factor now genuinely druggable via the autopalmitoylation pocket, with good selectivity and tumor enrichment supporting small-molecule inhibition."
33,7,EGLN1,inhibit,medium,"Enzyme (prolyl hydroxylase) with fully tractable active site and approved-drug chemistry, giving a clean starting point for GBM hypoxia/HIF-axis modulation."
33,8,KIF18A,inhibit,medium,"Highly selective mitotic-kinesin dependency with excellent tumor enrichment and therapeutic window, and clinical-stage inhibitors now exist despite the 'no-MoA' tag; chromosomally-unstable GBM is a plausible context."
33,9,KIF2C,inhibit,low,"Top-composite candidate with outstanding tumor enrichment/window and CDKN2A/B synthetic-lethality, but as a mitotic kinesin it lacks a validated small-molecule MoA, so tractability is the gating question."
33,10,PTK2,inhibit,medium,FAK is a fully tractable kinase with clinical inhibitors and CDKN2A/B synthetic-lethality; weak tumor specificity/window and CNS-safety risk temper enthusiasm but the target is genuinely actionable.
33,11,ELAVL1,inhibit,low,RNA-binding oncoprotein (HuR) with strong tumor enrichment/specificity and moderate tractability; a mechanistically interesting inhibition target though small-molecule disruption of RNA binding remains challenging.
33,12,VRK1,inhibit,medium,"Strong, selective dependency kinase (paralog-lethal in some contexts) with reasonable tractability, making it a credible novel inhibitor target once chemistry is established."
33,13,E2F3,inhibit,low,"RB1-synthetic-lethal transcription factor with good selectivity and tumor enrichment; directionality is clearly inhibition, but TF druggability (tract=0) makes this a discovery-stage bet."
33,14,WWTR1,inhibit,low,"TAZ is an oncogenic Hippo effector where TEAD-palmitoylation inhibitors offer an indirect but real small-molecule route, and CDKN2A/B synthetic-lethality supports selectivity despite TME-dominated signal."
33,15,FGFR1,inhibit,low,"Bona fide druggable driver kinase with approved inhibitors and high tumor specificity, but the flagged CNS-safety risk and poor therapeutic window keep confidence lower."
34,1,PDGFRA,inhibit,high,"Canonical GBM oncogenic driver (amplified/mutated in classical subtype) with perfect tractability, approved kinase inhibitors, and high tumor specificity/selectivity."
34,2,MET,inhibit,high,"Validated RTK driver of GBM invasion/resistance with excellent selectivity, perfect tractability, and clinically available inhibitors."
34,3,CDK2,inhibit,medium,Strong dependency and tumor enrichment with clean chemistry and RB1-synthetic-lethality; low selectivity/common-essential status warrants a therapeutic window strategy but it is highly druggable.
34,4,ITGB5,inhibit,medium,Novel integrin dependency with high tumor enrichment and CDKN2B/NF1 synthetic-lethality; cell-surface receptor is antibody/peptide-amenable though small-molecule MoA is unproven.
34,5,TEAD1,inhibit,medium,"Hippo-pathway transcriptional effector with a validated lipid-pocket small-molecule MoA (palmitoylation-site inhibitors) and good selectivity, relevant to GBM mesenchymal signaling."
34,6,CDK7,inhibit,medium,Druggable transcriptional CDK with covalent inhibitors in trials and PTEN synthetic-lethality; common-essential status means window is the key risk.
34,7,VRK1,inhibit,medium,"High-dependency novel serine/threonine kinase with reasonable tractability and emerging paralog-lethality rationale, offering a genuine small-molecule kinase entry point."
34,8,KIF18A,inhibit,medium,"Strong pan-cancer dependency and tumor enrichment with a now-clinically-validated small-molecule inhibitor class (kinesin motor), giving a real chemical path despite 'novel' flag."
34,9,PTPN11,inhibit,medium,"SHP2 is a highly druggable allosteric phosphatase central to RTK/RAS signaling in GBM with clinical inhibitors, though CNS window and common-essentiality need managing."
34,10,ELAVL1,inhibit,low,"HuR RNA-binding protein with high tumor enrichment/specificity and tractable RNA-interaction pockets, an attractive post-transcriptional oncology node."
34,11,EGLN1,inhibit,low,"PHD2 prolyl-hydroxylase is enzymatically druggable with approved inhibitors, but its HIF-stabilizing effect could be pro-tumorigenic, so directionality needs careful validation."
34,12,GPX4,inhibit,low,Very high dependency and a validated ferroptosis-induction target of active medicinal-chemistry interest; poor therapeutic window and CNS risk are serious but the mechanism is compelling for GBM.
34,13,KIF2C,inhibit,low,"Top composite mitotic-kinesin with exceptional tumor enrichment and window plus CDKN2A/B synthetic-lethality; no established inhibitor MoA is the main risk, but the motor domain is potentially tractable."
34,14,WWTR1,inhibit,low,"TAZ transcriptional coactivator drives GBM mesenchymal aggression and is druggable indirectly via the TEAD palmitoyl pocket, offering a mechanistically coherent small-molecule route."
34,15,FGFR1,inhibit,low,"Druggable RTK with FGFR fusions/activation in a GBM subset and approved inhibitors, but the flagged CNS-safety risk and very poor window temper enthusiasm."
35,1,PDGFRA,inhibit,high,"Recurrently amplified/mutated GBM driver receptor tyrosine kinase with perfect tractability, approved-drug precedent, and top tumor-specificity — a clean, directly druggable inhibition target."
35,2,MET,inhibit,high,"Validated GBM RTK driver (amplification and exon-14 events, EGFRvIII-driven bypass) with approved small-molecule inhibitors, excellent selectivity and full tractability."
35,3,CDK2,inhibit,medium,"Highly tractable kinase with strong dependency and RB1-context synthetic lethality plus emerging selective inhibitors, offering a cell-cycle vulnerability in GBM."
35,4,CDK7,inhibit,medium,"Transcriptional/cell-cycle kinase with real small-molecule chemistry and PTEN-context synthetic lethality, giving a druggable node despite common-essentiality caveats."
35,5,TEAD1,inhibit,medium,"Hippo-pathway transcription factor now druggable via covalent palmitate-pocket inhibitors, with good selectivity and tumor enrichment in mesenchymal GBM."
35,6,EGLN1,inhibit,medium,"PHD2 prolyl-hydroxylase is a fully tractable enzyme with clinically validated small-molecule inhibitors, offering a HIF-axis approach in hypoxic GBM."
35,7,KIF18A,inhibit,medium,"Mitotic kinesin with strong, near-selective dependency and excellent therapeutic window; a clinically advancing inhibitor class de-risks the currently modest tractability score."
35,8,VRK1,inhibit,medium,"Novel serine/threonine kinase with very high dependency and reasonable tractability, representing a kinase-family target amenable to structure-based inhibitor design."
35,9,KIF2C,inhibit,low,"Top composite driven by exceptional tumor enrichment and window with CDKN2A/B synthetic lethality, but as a kinesin it needs de novo chemistry, so it is a discovery-stage nomination."
35,10,KIF18B,inhibit,low,"Mitotic kinesin with outstanding tumor specificity, enrichment, and window in the same tractable family as KIF18A, warranting inhibitor development."
35,11,ELAVL1,inhibit,low,"HuR RNA-binding protein with high tumor specificity/enrichment and nascent small-molecule chemistry, a plausible if difficult inhibition/degradation target."
35,12,WDR77,degrade,low,"PRMT5-partner scaffold with strong CDKN2A/B synthetic lethality and high tumor specificity, potentially drugged through the PRMT5 axis or degradation."
35,13,E2F3,degrade,low,RB1-context synthetic-lethal transcription factor with good selectivity and tumor enrichment; not directly tractable as-is but a strong biology-driven degrader candidate.
35,14,FGFR1,inhibit,low,"Bona fide GBM RTK driver with approved inhibitors and high tumor specificity, ranked cautiously only because of its CNS-safety liability requiring careful window management."
35,15,CDC25B,inhibit,low,"Cell-cycle phosphatase with existing chemistry and good tumor specificity, offering a mitotic-entry vulnerability if a genuine inhibitory MoA and window can be established."
36,1,PDGFRA,inhibit,high,"Validated GBM oncogenic driver (amplified/mutated), highest tractability with approved kinase inhibitors, excellent tumor specificity and selectivity — the strongest classically druggable candidate."
36,2,MET,inhibit,high,"Recurrent GBM RTK driver with strong selectivity and full tractability via approved MET kinase inhibitors, offering a clear inhibitory MoA."
36,3,CDK2,inhibit,high,"Druggable kinase with mature chemistry and RB1-pathway synthetic lethality relevant to CDKN2A/CDKN2B-deleted GBM, though pan-essential selectivity is the tradeoff."
36,4,CDK7,inhibit,medium,"Fully tractable transcriptional kinase with clinical inhibitors and PTEN synthetic lethality, though common-essentiality demands a careful therapeutic window."
36,5,TEAD1,inhibit,medium,"Hippo/YAP effector with an established small-molecule palmitate-pocket inhibitor MoA and good tumor enrichment, giving genuine druggability despite modest dependency."
36,6,PTPN11,inhibit,medium,"SHP2 is a highly tractable allosteric-inhibitor target downstream of GBM RTK signaling, though CNS safety window needs monitoring."
36,7,ITGAV,inhibit,medium,"Very high dependency integrin with tractable chemistry and CDKN2A/2B synthetic lethality, though tumor-specificity is weak (TME-dominated signal)."
36,8,VRK1,inhibit,medium,"Strong pan-cancer dependency serine/threonine kinase with emerging chemical matter and a paralog-based selectivity rationale, a credible novel inhibitor target."
36,9,KIF18A,inhibit,medium,"Very high dependency mitotic kinesin with clinical-stage inhibitors demonstrating the MoA exists, and strong tumor enrichment/window."
36,10,KIF2C,inhibit,low,"Top composite with excellent tumor enrichment/window and CDKN2A/2B synthetic lethality, but a mitotic kinesin lacking a proven small-molecule pocket — high-value if tractability is solved."
36,11,ELAVL1,inhibit,low,"HuR RNA-binding oncoprotein with strong tumor specificity/enrichment and reported small-molecule/RNA-interface disruptors, a plausible if hard inhibitor target."
36,12,EGLN1,inhibit,low,"PHD2 is a well-drugged enzyme (approved HIF-PHD inhibitors), providing ready chemistry to probe hypoxia-axis dependency, though GBM dependency evidence is modest."
36,13,CDC25B,inhibit,low,"Druggable cell-cycle phosphatase with existing chemistry and good tumor specificity, worth pursuing though the therapeutic window score is poor."
36,14,WWTR1,inhibit,low,"TAZ is a targetable Hippo effector aligned with the TEAD axis and CDKN2A/2B synthetic lethality, best approached via upstream TEAD or degradation given TME-dominated specificity."
36,15,E2F3,degrade,low,"RB1-synthetic-lethal transcription factor with strong selectivity; not directly ligandable, so best pursued via degradation or upstream CDK inhibition."
37,1,PDGFRA,inhibit,high,"Recurrently amplified/mutated GBM driver RTK with excellent tractability, approved kinase-inhibitor chemistry, and strong tumor specificity — the most clinically actionable target here."
37,2,MET,inhibit,high,"Validated GBM driver RTK (amplification and exon-skipping) with high selectivity and approved inhibitor chemistry, though CNS penetration must be engineered."
37,3,CDK2,inhibit,medium,"Highly tractable kinase with RB1-pathway synthetic lethality relevant to CDKN2A-deleted GBM and emerging selective inhibitors, but its common-essential/low-selectivity profile narrows the window."
37,4,KIF2C,inhibit,medium,"Top-composite mitotic kinesin with outstanding tumor enrichment/window and CDKN2A/B synthetic lethality, but lacks a validated small-molecule MoA so tractability is speculative."
37,5,KIF18A,inhibit,medium,Chromosomally-unstable-tumor-selective kinesin with genuine clinical-stage inhibitors (a real druggable MoA now exists) and strong dependency/window scores.
37,6,ITGB5,inhibit,medium,"GBM-enriched integrin with meaningful CDKN2B/NF1 synthetic lethality and reasonable tractability, offering a surface-accessible non-kinase angle."
